predicted_score,ground_truth_score
143.34424,3.1
15.892225,1.3468635
32.352367,2.1
154.79471,2.88
146.73329,2.68
177.4862,3.56
164.9766,2.86
117.40021,2.9
188.34447,3.94
212.00082,3.42
190.82228,3.6
188.77629,3.72
132.13777,2.4
198.37082,1.907173
117.02415,2.76
208.23274,3.68
19.573334,1.72
81.569695,2.64
117.88982,2.58
20.484837,2.06
72.047134,2.2
216.12941,3.8
74.71796,2.4
54.44086,2.12
199.59341,3.82
141.93124,2.72
240.60274,3.74
234.6031,4.3
5.052636,2.1
161.4339,1.78
178.63358,3.68
81.68745,2.66
195.42914,3.48
101.31132,2.08
207.74118,3.52
206.92953,3.42
167.72372,2.2
157.4964,2.5
134.96329,3.0
143.4157,3.02
157.84549,2.96
178.36285,3.12
194.78168,3.02
189.5206,3.4
146.95445,2.76
138.6525,2.9
135.65492,2.94
196.512,2.86
212.33882,3.28
180.25774,3.78
50.452644,2.26
210.56564,3.8
185.43234,4.02
161.32422,3.4
9.4879265,1.46
208.09059,3.32
195.22421,3.7
187.82214,3.84
204.18571,3.92
227.13118,4.02
220.21387,2.74
159.36469,2.88
150.58887,2.94
222.22995,4.14
154.48586,2.84
218.68173,3.5291667
152.62137,2.2
147.98897,3.28
197.85709,3.32
230.94551,3.52
204.39053,3.3
183.92792,3.14
178.88577,3.86
48.643784,2.4
158.56952,3.2
151.32722,2.88
97.040985,2.2
160.98074,3.1
174.02698,3.32
199.60564,3.58
214.72177,3.48
188.3589,3.82
188.96902,3.24
15.913831,1.52
193.73907,3.42
205.97565,3.5
199.10881,3.1
209.52203,3.92
195.38225,3.74
196.9557,3.6
226.14958,4.14
41.654762,1.82
211.02718,3.74
54.284405,3.02
63.78064,2.3
127.58211,2.92
130.06848,2.66
195.43777,3.6
142.06097,3.22
186.19357,3.42
225.54897,3.36
22.08015,2.14
171.8834,2.92
202.81023,3.92
143.70851,3.16
220.72305,4.1062994
203.937,3.5714285
209.72398,3.94
155.1753,3.08
202.81451,2.16
123.774734,2.76
146.89818,3.6
228.96405,4.04
51.23838,1.74
124.58569,2.72
187.948,3.08
149.44157,3.06
163.93771,2.94
207.12308,4.04
116.2832,2.78
212.03937,3.8235295
157.79514,3.74
187.21263,3.8
210.0531,3.36
192.37094,3.16
144.32138,3.16
157.14621,2.74
134.91765,2.68
192.20564,3.46
23.76171,1.74
1.8115511,1.82
183.36208,3.66
196.71277,3.9
134.30678,2.66
120.68489,2.62
101.03891,2.4
185.93292,2.84
121.65375,2.8
176.18787,2.96
199.02086,4.04
37.483757,2.04
228.08682,3.46
77.6414,2.6
156.05852,3.16
39.22508,1.94
176.68936,3.52
99.15235,1.46
166.25412,3.4
148.1126,3.4
202.9367,3.78
10.447245,1.6224066
158.34276,2.16
203.40967,2.88
216.69724,4.08
197.3771,3.04
186.0578,3.38
224.72829,3.62
180.25572,3.86
171.09592,3.42
172.66364,3.398374
155.71964,2.32
135.66138,3.1
115.78119,2.48
158.1247,2.96
4.108182,1.48
88.143974,2.56
-2.1649227,1.56
136.03595,2.52
178.65002,3.16
182.86978,3.22
206.89432,3.1
223.94275,3.54
96.10637,2.96
255.92583,4.04
205.04607,3.6764705
119.686035,2.74
171.81453,3.6
156.5362,3.28
216.43698,3.68
184.30386,3.68
10.780171,1.52
42.460907,2.1
50.079292,2.38
105.26135,2.66
134.19426,2.7
188.55026,3.64
161.0455,3.66
190.47119,3.8
194.34277,3.52
204.57524,3.96
139.08865,3.04
14.263338,2.46
160.60626,3.4377682
167.03896,2.48
178.35187,2.9
126.097336,2.14
166.8241,3.14
196.4384,3.42
193.8992,3.76
72.82062,2.38
45.57216,2.3
162.85077,3.3
112.62755,2.7
243.42245,3.9
83.84657,2.78
218.57912,3.68
159.10524,2.52
78.53801,2.04
90.800156,2.7
153.10342,2.78
178.23584,3.42
34.42228,1.68
237.61473,3.78
125.46319,3.14
152.90753,3.3522727
184.43288,3.5
202.585,3.72
104.757645,2.96
147.68768,3.0
27.648428,1.7297298
172.25412,3.06
192.9754,3.56
201.82654,3.7
230.28426,3.88
157.85765,3.36
152.61897,2.38
199.76624,3.5546558
171.83907,2.72
161.39935,3.2
120.5074,2.72
19.046576,2.04
187.73718,3.32
209.80252,3.26
208.56802,3.86
174.88034,3.5
200.33643,3.08
72.98164,2.1
105.30435,2.74
210.1562,3.84
206.4641,3.64
144.22116,3.1
134.33153,2.74
13.631933,1.52
109.81202,2.6
110.02463,2.26
132.32733,2.18
39.2781,2.4
129.6217,3.6
203.37073,3.44
183.16998,3.22
144.46477,3.04
49.10817,1.68
-1.4884968,1.22
167.19626,3.3
105.55408,2.64
116.49968,3.2
214.39537,3.92
150.97643,2.96
110.55711,2.54
146.58524,2.76
129.97633,3.28
49.679615,1.98
138.41824,2.92
219.86006,3.567227
168.83328,2.3
113.43512,2.42
192.98224,3.72
222.24976,3.48
153.14464,3.22
196.9162,3.82
169.70715,3.44
194.71835,3.6
209.74477,3.14
191.90729,3.38
76.358154,2.52
104.41776,1.828125
199.60115,3.48
121.19895,3.02
219.51979,3.72
114.87007,3.02
179.84705,3.74
210.82849,3.98
185.43039,3.76
175.65936,3.02
107.89501,1.96
216.20885,3.08
206.13469,3.38
236.3042,4.06
182.16798,3.92
123.25369,2.86
180.59564,2.94
203.37027,3.52
166.36205,2.64
202.03598,3.64
177.84052,3.24
207.4957,3.52
212.07034,3.08
117.10211,2.5976095
187.37149,3.9
199.71918,3.96
156.59389,2.92
202.08376,3.9
196.12436,3.64
134.16905,3.34
209.9683,3.9
202.67532,3.7063491
128.76094,2.76
98.86771,2.3438735
180.42209,3.82
213.2091,4.04
205.59465,4.14
159.74689,3.02
169.27682,3.02
180.593,2.84
209.85423,3.48
136.69757,3.3
23.880754,1.84
206.1853,4.3
150.83554,2.86
153.37839,3.12
130.03745,3.16
124.299065,2.18
22.167274,1.66
137.27509,2.08
189.31573,3.18
152.65187,2.58
90.968124,2.06
167.04475,3.32
180.98477,3.1
111.5885,2.25498
206.57184,3.58
135.24126,2.32
35.18785,1.9
178.19772,3.272
151.25012,3.2
214.98352,3.54
164.96152,3.48
46.156746,2.0348837
160.2985,2.54
98.6802,2.56
224.58438,3.46
159.36717,3.54
196.26868,3.54
147.04108,3.06
156.27594,2.4
176.15446,3.62
161.2614,2.32
199.26343,2.82
27.316622,2.26
201.17912,3.54
86.67198,2.8
198.10022,3.58
177.74791,3.36
31.67378,2.02
160.95273,2.84
122.7099,3.46
200.80215,3.68
10.9181185,2.08
126.129745,2.9
165.42755,3.54
215.49893,2.6
224.56734,3.76
176.9003,3.48
208.67384,3.26
197.56659,2.88
206.85406,3.78
104.472176,2.54
192.19608,3.48
180.08696,3.44
148.86082,3.06
175.30084,2.5
61.757416,1.86
172.13564,3.26
192.75626,3.56
42.325996,2.68
101.214096,2.22
175.96059,3.22
159.02673,2.28
145.11453,3.16
154.37253,2.28
-3.9901485,1.4
162.2951,3.28
11.636202,1.86
182.4914,3.56
163.75644,3.08
171.59433,3.12
216.30847,3.4
138.79654,2.9
205.81549,3.7
174.7412,3.12
218.268,3.4
150.42612,3.08
182.89827,3.52
159.54141,2.48
180.36502,3.16
102.61294,2.94
44.810318,1.62
181.20047,3.64
254.46106,4.64
195.27818,2.52
10.863903,1.86
-4.127468,1.68
191.0252,3.88
135.38623,2.86
21.305609,1.8
124.47693,1.96
115.57095,2.98
84.70471,2.26
178.05927,3.18
114.36756,3.1
217.41708,3.38
35.22998,1.86
203.61443,3.94
163.32788,2.74
225.12976,3.8
177.19513,3.26
186.30986,3.58
190.37483,3.52
100.8329,2.64
224.51218,3.6
184.80493,3.42
156.61365,3.1344538
146.62677,3.38
194.21393,3.7
216.8962,3.944882
160.74466,3.56
174.9624,3.3
162.63248,3.56
108.01766,1.88
161.20276,3.58
222.32848,3.68
78.12558,1.98
130.94086,3.18
159.37706,2.88
84.41264,2.4
77.18614,1.42
190.73088,3.2
149.8368,2.7
183.37982,3.16
133.35449,3.12
151.32156,2.6
12.735624,2.64
89.601456,2.66
122.99484,3.2
194.96072,3.62
98.07719,3.08
205.20662,3.5
207.60051,3.82
204.41934,4.12
118.98117,2.54
201.45209,2.78
217.62408,3.06
143.66187,2.04
6.301919,1.94
119.889046,2.46
194.79509,3.54
197.92493,2.78
204.40463,4.04
90.09906,2.86
210.56282,3.68
147.24438,3.24
3.4104261,1.94
200.25153,3.6
187.38118,3.6
-0.40938377,1.8
206.41832,3.72
187.81117,3.62
213.88068,3.7857144
219.53366,3.74
163.83432,3.58
130.30193,3.28
171.27048,3.58
177.2883,2.86
148.36047,3.36
198.37846,3.64
211.44647,3.3652174
159.43578,3.2316601
170.01245,3.1
192.50339,3.4
132.39903,3.46
183.61319,3.34
143.1489,2.1
226.9924,3.48
71.18544,1.96
173.62903,2.98
184.48773,3.62
171.91806,3.5
25.332418,2.3
162.9288,2.92
206.98236,2.6956522
206.67917,3.32
165.50597,3.46
115.85478,2.4
197.3143,3.64
215.02151,3.84
162.28252,2.48
196.77873,3.3
222.6322,3.02
113.7186,2.66
228.07681,4.16
171.73734,3.92
199.72876,3.68
108.35867,1.6
73.49424,1.6
76.17548,1.84
142.56908,3.24
196.73064,3.04
98.769135,2.46
48.606087,2.36
61.162457,2.5
79.76405,2.26
20.954412,1.82
43.514557,2.22
135.18495,2.88
91.72609,2.2
151.6265,2.74
166.13492,3.18
151.98984,2.94
130.60123,2.6
14.004328,2.46
173.4776,3.12
23.71994,1.74
104.370514,2.42
126.77731,3.5
85.06918,2.96
193.94846,3.44
185.75964,3.7
113.007034,3.24
171.76938,3.18
98.58686,1.66
172.11058,3.1
227.98174,3.4
243.20764,3.84
220.40494,3.54
185.71255,3.04
227.13216,3.96
65.4483,2.3
51.087345,1.8431373
164.04549,2.52
139.99222,2.82
212.68576,3.7982457
113.72212,2.48
159.45724,3.02
202.29465,3.22
157.33688,3.38
92.14517,2.24
233.47673,4.4
211.05913,3.7
152.28682,3.18
208.86256,3.12
172.02563,3.2537313
194.2832,2.4
139.59984,2.84
161.4003,2.9179688
156.22568,3.04
174.44388,2.28
200.14676,3.54
213.54243,4.1
43.089684,1.7
148.3779,2.1056604
169.16019,2.7928288
203.09096,3.82
211.55898,3.72
166.28748,3.0
79.25336,2.38
186.79529,3.38
186.21777,3.06
204.53448,3.34
247.46375,4.02
133.05014,3.0
165.21042,2.92
151.48068,2.9338522
172.43185,3.5992367
129.44904,2.5
202.86533,3.64
192.3031,3.64
190.82251,3.66
181.71852,3.06
185.37311,2.9
170.7844,2.6
182.83374,3.46
56.422245,3.02
110.69438,1.72
156.89185,3.14
108.936844,1.9
215.62462,3.8
196.85031,3.92
11.543582,1.7
143.56381,2.22
63.196114,2.34
43.97785,2.14
226.90814,3.16
214.66634,3.54
50.69906,2.26
111.29033,2.88
190.76926,3.58
213.7652,3.72
210.56607,3.68
200.45828,3.56
144.80261,3.2689075
77.48262,2.44
80.44664,2.16
215.5187,3.34
190.78238,2.96
209.49185,3.2
134.11356,2.68
80.09401,1.82
198.70586,3.72
119.15482,2.9
147.45201,2.68
97.994576,2.46
170.98096,3.68
102.16387,2.7
164.00047,3.38
164.11234,3.04
220.66534,3.98
39.049644,2.06
194.60751,2.92
176.97815,3.66
145.67957,3.14
197.91037,3.54
91.424484,2.74
187.42953,3.4692307
119.06645,2.48
50.557262,2.36
195.7675,3.56
212.91177,4.02
238.10843,3.2
180.1319,3.5868726
122.820274,2.96
213.46617,3.84
135.2243,3.04
70.67971,3.04
221.39684,3.32
168.60197,3.74
208.61258,3.92
136.62187,2.48
196.0276,3.9
176.20554,2.98
6.4560356,1.72
126.47529,3.04
161.85086,3.26
15.530047,2.08
115.53648,2.32
209.14787,3.9
214.27103,3.621951
219.02548,2.94
223.95087,3.8
179.38416,3.32
110.519714,2.72
216.80675,3.2
213.95563,3.9924812
159.54121,2.28
197.51309,3.44
111.89494,2.62
205.32004,2.2421875
42.067135,1.52
179.95047,2.98
108.36322,2.82
200.48367,3.92
127.04222,2.72
167.1509,3.48
171.69145,3.3
33.450455,2.22
240.5742,3.34
31.597479,1.98
154.54347,3.76
82.59172,2.28
46.362206,2.16
208.98499,3.48
162.73996,3.4943397
201.62276,3.38
206.32654,3.94
208.0336,3.7
160.81151,2.64
124.79054,2.34
34.830368,2.58
63.981823,2.36
113.82283,2.12
154.2949,3.18
152.18016,3.3
207.29611,3.68
199.10616,3.2
219.77222,4.14
212.29694,4.28
220.54816,3.68
189.97339,4.18
173.2823,2.86
173.91928,3.16
46.174072,1.94
186.27725,3.28
239.36214,3.88
98.49431,3.02
234.80525,4.1518517
140.35574,3.12
36.479546,2.82
89.34244,3.0
92.77699,2.24
208.85997,3.4
184.38968,3.6
187.7284,3.4
67.06852,2.24
239.32635,3.84
75.70181,2.18
37.294693,2.02
39.69588,2.26
35.61572,2.46
179.6567,3.06
48.41223,2.5
186.27084,3.14
160.94446,2.74
103.213356,2.46
144.81856,3.56
154.30325,3.26
86.094315,2.76
10.988693,1.92
147.18008,3.0
159.40756,3.4
123.08096,2.52
210.85371,3.4
86.80925,2.74
154.36438,2.9
8.892103,2.02
99.826126,2.82
170.58902,3.22
183.83246,3.26
68.233086,2.9
253.71774,4.32
192.36606,3.24
247.4047,4.4
90.1889,2.9486165
202.58688,3.74
24.6241,2.18
209.29823,3.34
166.82263,3.44
146.27876,2.78
191.06772,3.24
94.528244,2.58
181.33554,3.24
178.55585,3.12
184.84885,3.84
200.23375,3.88
126.20345,2.56
213.44598,3.62
202.52298,2.7
231.06638,3.54
216.12778,3.68
216.29518,3.74
208.12549,3.38
185.11874,3.76
59.892273,2.7
44.997368,2.42
208.32507,3.5
46.711212,1.74
175.58853,3.02
210.513,2.58
200.29375,3.58
129.69226,2.72
201.52402,2.26
171.42601,3.04
212.7043,4.02
144.03468,2.78
145.33136,2.4
174.74733,3.38
106.666435,3.26
194.61774,2.68
160.92944,2.52
173.53381,2.24
152.25558,3.38
184.97719,3.44
200.39374,3.78
202.94005,3.36
240.111,3.62
179.8093,3.16
74.03628,2.4
129.25697,1.7
224.6862,3.6
210.1827,3.86
172.25352,3.66
105.03159,2.08
208.79431,3.48
106.458595,2.56
207.08151,3.44
215.28226,3.9
226.35718,3.5
206.2742,3.5
181.95776,3.92
133.39546,2.299595
185.65329,2.94
171.764,3.14
118.76396,3.02
226.49223,2.86
247.97119,2.66
116.80646,3.46
149.22266,3.4
209.61694,4.16
160.20975,3.34
202.6845,3.74
170.02066,3.5
181.02707,3.8
154.33041,2.78
211.55823,4.0
169.2929,2.6
220.27304,3.32
149.66696,3.38
25.742228,2.24
158.90125,3.14
146.05594,3.12
112.55539,3.24
163.52985,2.56
164.38135,2.56
161.96994,3.6
41.496063,2.26
39.04303,2.58
197.22711,3.72
104.041504,2.28
-4.789736,1.56
189.50699,2.58
193.15318,3.62
143.25153,3.12
194.80815,3.42
148.7976,2.64
10.660606,1.78
214.72603,3.2
150.43118,2.86
131.61273,2.7
57.82823,2.48
218.79324,3.0
25.641476,2.4
171.64468,3.3
216.66566,3.8
180.93271,3.58
65.475815,2.48
175.05789,2.28
59.303986,1.82
134.9466,3.26
162.18651,3.7
187.96985,3.58
188.65262,4.14
135.86217,3.16
122.19767,2.72
202.03763,3.36
53.736454,2.16
16.667074,2.32
201.76369,2.88
227.37975,3.92
144.2633,2.86
194.35623,3.52
156.6444,2.74
200.24753,3.82
240.98557,4.04
75.273026,2.06
69.85871,2.34
23.369886,2.58
159.97723,3.28
199.0372,4.06
156.99034,3.12
174.70677,3.4
184.87762,3.6
168.66519,3.06
218.9183,4.0
203.81247,2.9
179.18504,2.88
72.12927,2.08
150.5589,3.44
186.59436,3.08
188.58093,3.94
89.84343,2.24
186.84622,2.68
154.19093,3.42
189.54837,3.66
219.88599,4.02
175.67935,3.3
214.84602,3.28
184.84412,3.58
105.613625,3.0
105.682465,2.54
35.491806,1.46
230.01524,3.36
200.31677,3.54
67.79248,2.04
117.32111,1.9920635
242.34296,3.76
161.28307,2.3
201.98663,4.1
183.33444,3.2
203.30093,3.879845
202.14243,3.34
215.16696,3.48
215.66798,3.0
191.37111,3.74
221.31563,3.48
129.0066,2.6
93.78325,2.4
171.39627,3.34
39.353348,2.0
89.71157,2.22
178.6082,3.32
30.292128,1.84
179.6926,3.08
167.96416,3.32
201.6513,3.52
166.62225,2.82
183.11632,3.36
14.156611,2.12
223.2372,3.74
140.39319,2.8978724
208.71092,3.16
21.376537,1.78
169.08092,3.78
216.1343,3.66
177.22429,3.3
219.02042,3.9
174.37756,3.1
114.85173,2.64
135.59033,2.18
220.94989,4.12
210.42592,3.48
164.27684,2.96
175.39874,3.36
195.02008,3.5984557
181.88737,3.66
197.99588,3.2
201.57004,3.6
176.27084,3.68
173.85092,3.46
-9.406256,1.68
219.54156,4.035573
36.929264,1.64
205.3335,3.78
62.846153,3.02
72.62564,2.06
221.94096,3.88
117.04748,2.62
27.731598,2.36
177.4481,3.480315
40.578575,2.46
209.79175,3.72
24.649147,2.16
183.16646,3.08
119.004295,2.84
213.54596,3.8
196.66403,3.12
191.97034,3.82
186.23749,3.28
214.37508,3.08
74.69312,2.32
129.43422,2.52
119.559265,2.4
183.11278,3.42
193.19208,3.7
181.77278,3.44
143.74434,3.3
197.71298,3.34
172.41248,2.84
209.33972,3.7
51.377914,2.28
216.49094,3.5
122.751236,2.88
144.90076,3.12
159.38943,2.84
155.52112,3.26
190.70157,3.58
177.36636,4.02
56.87262,2.36
163.57465,3.08
173.54578,3.28
165.57565,3.32
194.19186,3.38
177.95505,2.86
223.74872,3.36
193.5531,2.78
167.71922,3.76
221.27463,3.14
190.33768,3.26
233.72058,3.34
124.23031,2.32
